run_id,domain,arm,category,fact_index,fact_text,verdict,evidence
3fc5a339-4ea0-4682-85c6-013b2aa33ae2,coda.io,deep-eve-gpt5.4,features,0,A main feature is: Collaborative docs combining doc and app experience,correct,"combines docs, spreadsheets, and apps in one collaborative canvas"
3fc5a339-4ea0-4682-85c6-013b2aa33ae2,coda.io,deep-eve-gpt5.4,features,1,A main feature is: Team hubs for centralizing strategy and schedules,partial,Docs & team hubs: collaborative docs for shared team knowledge and hubs.
3fc5a339-4ea0-4682-85c6-013b2aa33ae2,coda.io,deep-eve-gpt5.4,features,2,A main feature is: Interconnected tables with synced edits and personalized views,not_addressed,
3fc5a339-4ea0-4682-85c6-013b2aa33ae2,coda.io,deep-eve-gpt5.4,features,3,"A main feature is: No-code app building with formulas, buttons, automations",partial,"Buttons, automations, Cross-doc syncs, and other Pack sync tables are paused until size is reduced"
3fc5a339-4ea0-4682-85c6-013b2aa33ae2,coda.io,deep-eve-gpt5.4,features,4,"A main feature is: AI chat for brainstorming, content creation, Q&A",partial,"Coda AI: AI for content generation, repetitive tasks, and insights"
3fc5a339-4ea0-4682-85c6-013b2aa33ae2,coda.io,deep-eve-gpt5.4,features,5,"A main feature is: AI assistant to generate tables, summaries, content",partial,"Coda AI: AI for content generation, repetitive tasks, and insights."
3fc5a339-4ea0-4682-85c6-013b2aa33ae2,coda.io,deep-eve-gpt5.4,features,6,A main feature is: AI column for at-scale auto-generated content from data,partial,"Coda AI: AI for content generation, repetitive tasks, and insights"
3fc5a339-4ea0-4682-85c6-013b2aa33ae2,coda.io,deep-eve-gpt5.4,features,7,A main feature is: 600+ integrations with external tools,not_addressed,
3fc5a339-4ea0-4682-85c6-013b2aa33ae2,coda.io,deep-eve-gpt5.4,features,8,A main feature is: Customizable templates for multiple team roles,partial,"Templates / gallery: prebuilt templates for hubs, OKRs, meeting notes, roadmaps, decision docs"
3fc5a339-4ea0-4682-85c6-013b2aa33ae2,coda.io,deep-eve-gpt5.4,features,9,A main feature is: Gallery of published team solutions,partial,"Templates / gallery: prebuilt templates for hubs, OKRs, meeting notes, roadmaps"
3fc5a339-4ea0-4682-85c6-013b2aa33ae2,coda.io,deep-eve-gpt5.4,features,10,A main feature is: Real-time collaboration and decision-making workflows,partial,Automation / buttons / sync behavior: implied across product/help pages
3fc5a339-4ea0-4682-85c6-013b2aa33ae2,coda.io,deep-eve-gpt5.4,features,11,It integrates with: Google Calendar,correct,"Packs to connect tools like Jira, Slack, Gmail, Google Calendar, Figma, Asana"
3fc5a339-4ea0-4682-85c6-013b2aa33ae2,coda.io,deep-eve-gpt5.4,features,12,It integrates with: Slack,correct,"Packs to connect tools like Jira, Slack, Gmail, Google Calendar, Figma, Asana"
3fc5a339-4ea0-4682-85c6-013b2aa33ae2,coda.io,deep-eve-gpt5.4,features,13,It integrates with: Figma,correct,"Packs to connect tools like Jira, Slack, Gmail, Google Calendar, Figma, Asana"
3fc5a339-4ea0-4682-85c6-013b2aa33ae2,coda.io,deep-eve-gpt5.4,features,14,It integrates with: Jira,correct,"Packs to connect tools like Jira, Slack, Gmail, Google Calendar, Figma, Asana"
3fc5a339-4ea0-4682-85c6-013b2aa33ae2,coda.io,deep-eve-gpt5.4,features,15,It integrates with: 600+ integrations total,partial,"""hundreds of integrations ('Packs') to connect tools like Jira, Slack, Gmail"""
4da0d2b5-13c4-487e-a04f-00e05ac85b9f,circleci.com,deep-eve-gpt5.4,features,0,A main feature is: Autonomous validation engine for AI-generated code,partial,AI-assisted validation/failure context
4da0d2b5-13c4-487e-a04f-00e05ac85b9f,circleci.com,deep-eve-gpt5.4,features,1,A main feature is: Lightning-fast feedback with autonomous fixes,partial,"AI-related features currently highlighted: Chunk, MCP server, AI-assisted validation/failure context"
4da0d2b5-13c4-487e-a04f-00e05ac85b9f,circleci.com,deep-eve-gpt5.4,features,2,"A main feature is: Smarter Testing: run only relevant tests, up to 97% faster",not_addressed,
4da0d2b5-13c4-487e-a04f-00e05ac85b9f,circleci.com,deep-eve-gpt5.4,features,3,A main feature is: Chunk: automated fix-it for flaky tests and tech debt,partial,AI-related features currently highlighted: Chunk
4da0d2b5-13c4-487e-a04f-00e05ac85b9f,circleci.com,deep-eve-gpt5.4,features,4,A main feature is: Release management with incremental release monitoring,not_addressed,
4da0d2b5-13c4-487e-a04f-00e05ac85b9f,circleci.com,deep-eve-gpt5.4,features,5,A main feature is: Automatic rollback on deployments,not_addressed,
4da0d2b5-13c4-487e-a04f-00e05ac85b9f,circleci.com,deep-eve-gpt5.4,features,6,"A main feature is: Test orchestration for code from teams, agents, models",not_addressed,
4da0d2b5-13c4-487e-a04f-00e05ac85b9f,circleci.com,deep-eve-gpt5.4,features,7,A main feature is: CircleCI CLI with MCP server built in,partial,"MCP server listed under AI-related features, but not linked to CircleCI CLI"
