domain,block,field,fact_text
affinity.co,pricing,plan,name=Essential | price_monthly=166.67 | currency=USD
affinity.co,pricing,plan,name=Scale | price_monthly=191.67 | currency=USD
affinity.co,pricing,plan,name=Advanced | price_monthly=225 | currency=USD
affinity.co,pricing,plan,name=Enterprise | currency=USD
affinity.co,pricing,free_plan,False
affinity.co,features,main_feature,"Automatic capture of every email, meeting, and calendar interaction"
affinity.co,features,main_feature,"Data enrichment from 40+ sources including Pitchbook, Preqin, Grata"
affinity.co,features,main_feature,Relationship strength scoring from real interaction data
affinity.co,features,main_feature,Automated meeting briefs before every call
affinity.co,features,main_feature,Pipeline updates after every meeting automatically
affinity.co,features,main_feature,Coverage gap flagging before Monday review
affinity.co,features,main_feature,Warm path discovery through firm's existing network
affinity.co,features,main_feature,Purpose-built AI agents for deal context and relationship history
affinity.co,features,main_feature,AI Notetaker captures meeting conversations automatically
affinity.co,features,main_feature,"Integrations with Claude, ChatGPT, and Snowflake via MCP"
affinity.co,features,main_feature,Relationship data persists beyond employee turnover
affinity.co,features,main_feature,"Analytics, reporting, and mobile app included"
affinity.co,setup,has_public_api,True
affinity.co,setup,key_integration,Claude
affinity.co,setup,key_integration,ChatGPT
affinity.co,setup,key_integration,Gemini
affinity.co,setup,key_integration,Copilot
affinity.co,setup,key_integration,Snowflake
affirm.com,pricing,free_plan,True
ahrefs.com,pricing,plan,"name=Lite | price_monthly=129 | currency=USD | key_limits=5 projects, 6 months historical data, 750 tracked keywords, 5 tracked AI prompts, 100,000 crawl credits, 1 user included"
ahrefs.com,pricing,plan,"name=Standard | price_monthly=249 | currency=USD | key_limits=20 projects, 2 years historical data, 2,000 tracked keywords, 10 tracked AI prompts, 500,000 crawl credits, 1 user included"
ahrefs.com,pricing,plan,"name=Advanced | price_monthly=449 | currency=USD | key_limits=50 projects, 5 years historical data, 5,000 tracked keywords, 20 tracked AI prompts, 1,500,000 crawl credits, 1 user included"
ahrefs.com,pricing,plan,"name=Enterprise | price_monthly=1499 | currency=USD | key_limits=Annual commitment required, uncapped API access, SSO & enterprise-grade security, unlimited historical data, personalized higher limits"
ahrefs.com,pricing,plan,name=Brand Radar Starter | price_monthly=29 | currency=USD
ahrefs.com,pricing,plan,"name=Brand Radar Custom Prompts - Basic | price_monthly=50 | currency=USD | key_limits=2,500 checks/mo, overage $0.020/check"
