surface,arm,task,repeat,seconds
browser-use,jev,intent-customer-01,0,0.8
browser-use,jev,intent-customer-01,1,0.9
browser-use,jev,intent-customer-01,2,0.9
browser-use,jev,intent-customer-01,3,1.0
browser-use,jev,intent-customer-01,4,0.8
browser-use,jev,intent-doc-01,0,1.7
browser-use,jev,intent-doc-01,1,1.8
browser-use,jev,intent-doc-01,2,1.6
browser-use,jev,intent-doc-01,3,1.6
browser-use,jev,intent-doc-01,4,1.8
browser-use,jev,intent-doc-02,0,1.8
browser-use,jev,intent-doc-02,1,1.7
browser-use,jev,intent-doc-02,2,2.7
browser-use,jev,intent-doc-02,3,1.8
browser-use,jev,intent-doc-02,4,1.7
browser-use,jev,intent-order-01,0,2.2
browser-use,jev,intent-order-01,1,2.0
browser-use,jev,intent-order-01,2,1.9
browser-use,jev,intent-order-01,3,2.1
browser-use,jev,intent-order-01,4,2.5
browser-use,jev,intent-price-01,0,3.6
browser-use,jev,intent-price-01,1,3.4
browser-use,jev,intent-price-01,2,3.3
browser-use,jev,intent-price-01,3,3.7
browser-use,jev,intent-price-01,4,3.4
browser-use,jev,intent-reporter-01,0,2.4
browser-use,jev,intent-reporter-01,1,1.7
browser-use,jev,intent-reporter-01,2,1.7
browser-use,jev,intent-reporter-01,3,1.6
browser-use,jev,intent-reporter-01,4,2.3
browser-use,jev,intent-stock-01,0,2.4
browser-use,jev,intent-stock-01,1,2.0
browser-use,jev,intent-stock-01,2,2.1
browser-use,jev,intent-stock-01,3,2.1
browser-use,jev,intent-stock-01,4,2.0
browser-use,jev,intent-ticket-01,0,1.6
browser-use,jev,intent-ticket-01,1,1.3
browser-use,jev,intent-ticket-01,2,1.4
browser-use,jev,intent-ticket-01,3,1.5
browser-use,jev,intent-ticket-01,4,1.4
browser-use,jev,intent-transfer-01,0,2.9
browser-use,jev,intent-transfer-01,1,2.9
browser-use,jev,intent-transfer-01,2,2.8
browser-use,jev,intent-transfer-01,3,2.8
browser-use,jev,intent-transfer-01,4,3.0
browser-use,llm,intent-customer-01,0,4.0
browser-use,llm,intent-customer-01,1,3.8
browser-use,llm,intent-customer-01,2,3.9
browser-use,llm,intent-customer-01,3,3.3
browser-use,llm,intent-customer-01,4,3.5
browser-use,llm,intent-doc-01,0,5.5
browser-use,llm,intent-doc-01,1,5.5
browser-use,llm,intent-doc-01,2,7.8
browser-use,llm,intent-doc-01,3,4.8
browser-use,llm,intent-doc-01,4,5.3
browser-use,llm,intent-doc-02,0,8.0
browser-use,llm,intent-doc-02,1,5.6
browser-use,llm,intent-doc-02,2,7.7
browser-use,llm,intent-doc-02,3,7.8
browser-use,llm,intent-doc-02,4,7.8
browser-use,llm,intent-order-01,0,8.9
browser-use,llm,intent-order-01,1,7.8
browser-use,llm,intent-order-01,2,7.7
browser-use,llm,intent-order-01,3,7.5
browser-use,llm,intent-order-01,4,10.2
browser-use,llm,intent-price-01,0,17.6
browser-use,llm,intent-price-01,1,18.9
browser-use,llm,intent-price-01,2,20.7
browser-use,llm,intent-price-01,3,20.0
browser-use,llm,intent-price-01,4,9.7
browser-use,llm,intent-reporter-01,0,8.5
browser-use,llm,intent-reporter-01,1,8.2
browser-use,llm,intent-reporter-01,2,8.3
browser-use,llm,intent-reporter-01,3,6.1
browser-use,llm,intent-reporter-01,4,8.1
browser-use,llm,intent-stock-01,0,8.7
browser-use,llm,intent-stock-01,1,9.3
browser-use,llm,intent-stock-01,2,10.0
browser-use,llm,intent-stock-01,3,8.1
browser-use,llm,intent-stock-01,4,10.4
browser-use,llm,intent-ticket-01,0,10.7
browser-use,llm,intent-ticket-01,1,9.2
browser-use,llm,intent-ticket-01,2,10.1
browser-use,llm,intent-ticket-01,3,9.4
browser-use,llm,intent-ticket-01,4,7.7
browser-use,llm,intent-transfer-01,0,10.5
browser-use,llm,intent-transfer-01,1,12.8
browser-use,llm,intent-transfer-01,2,12.1
browser-use,llm,intent-transfer-01,3,11.5
browser-use,llm,intent-transfer-01,4,12.5
nlweb,jev,intent-customer-01,0,2.0
nlweb,jev,intent-customer-01,1,2.0
